nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 RICARDO AUGUSTO MACHADO DA SILVA,M,89,3,0,51,13,0, 01/09/1985,"298.314,29","46.869,46","45.084,75","38.278,91","27.339,96","44.758,85","31.421,18","25.575,18","20.837,80","14.005,25","3.151,94","991,01",0,"1.112.441,45","110.579,85","110.579,85","111.362,96","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97",0,0,"33.763,00",
 RICARDO TEOBALDO CAVALCANTI,M,67,16,9,6,15,4, 18/10/1965,"352.006,47","75.838,70","29.031,88","30.495,58","29.669,48","37.062,21","33.057,30","33.767,66","29.421,01","26.894,86","26.767,79","0,00",0,"1.112.441,45","111.120,99","111.212,54","111.152,88","111.465,56","111.108,83","110.890,32","111.508,05","111.481,05","111.392,77","111.108,46",0,0,"33.763,00",
 MARCOS ROBERIO RIBEIRO MONTEIRO,M,81,5,6,37,18,4, 15/02/1970,"288.276,95","47.590,17","43.538,26","54.646,16","42.748,76","30.958,46","28.787,21","13.260,89","3.509,26","5.237,78","18.000,00","0,00",0,"1.112.616,52","111.586,97","111.592,17","111.596,36","111.537,03","111.479,16","111.586,97","109.754,31","110.277,92","111.586,97","111.618,66",0,0,"33.763,00",
 RODRIGO COELHO,M,92,0,0,81,4,5, 29/06/1980,"107.305,81","12.678,98","16.326,42","25.770,44","13.620,70","25.418,03","7.973,08","3.227,19","8,21","1,82","2.280,94","0,00",0,"1.107.951,80","109.154,71","111.314,40","111.501,02","111.586,72","111.586,72","110.156,87","109.978,97","109.732,04","111.665,67","111.274,68",0,0,"33.763,00",1
 RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,M,87,0,5,89,5,5, 12/12/1977,"243.424,52","37.494,76","31.595,53","46.417,62","42.559,37","55.888,64","7.585,90","10.901,08","10.003,24","1,97","976,41","0,00",0,"1.074.590,09","110.810,36","110.810,36","110.810,36","110.810,36","110.810,36","110.810,36","102.087,70","102.087,70","102.087,70","103.464,83",0,0,"33.763,00",1
 RODRIGO BATISTA DE CASTRO,M,84,4,4,19,24,4, 15/07/1971,"298.166,35","29.116,39","39.825,95","37.384,92","42.822,40","46.598,49","40.201,06","31.887,58","7.204,14","7.391,07","14.196,79","1.537,56",0,"1.053.984,46","110.306,95","110.306,95","110.761,50","111.635,37","111.520,32","107.830,91","100.648,62","97.447,42","96.783,22","96.743,20",0,0,"33.763,00",
 ROBERTO ALVES DE LUCENA,M,90,1,1,57,32,5, 18/04/1966,"335.652,59","27.341,46","32.606,18","45.748,00","61.804,31","44.824,77","33.506,21","25.809,69","16.752,34","15.496,77","30.106,85","1.656,01",0,"1.101.716,29","111.550,40","111.427,12","111.550,39","106.316,60","103.862,46","110.721,82","111.475,46","111.586,80","111.586,80","111.638,44",0,0,"33.763,00",1
 ROGÉRIO CORREIA DE MOURA BAPTISTA,M,88,4,0,56,12,0, 11/01/1958,"299.970,55","24.911,46","32.959,38","35.823,09","33.558,57","39.922,11","30.506,71","29.548,85","32.578,63","29.350,52","10.811,23","0,00",0,"1.115.255,85","111.550,47","111.550,47","111.492,96","111.586,89","111.322,71","111.550,47","111.550,47","111.550,47","111.550,47","111.550,47",0,0,"33.763,00",
 RONALDO CARLETTO,M,88,0,4,5,16,3, 05/01/1960,"270.539,92","39.853,86","35.749,72","49.246,61","35.321,41","45.779,44","16.673,29","17.006,88","22.518,74","7.609,31","160,66","620,00",0,"1.113.060,98","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","111.586,93","108.778,61",0,0,"33.763,00",
 ROGÉRIO MENDONÇA,M,84,3,5,46,3,2, 27/01/1953,"282.557,76","19.071,55","19.591,03","40.202,77","23.209,03","30.598,89","32.032,33","30.741,03","29.926,43","37.877,83","18.450,40","856,47",0,"1.100.712,56","109.169,18","108.681,15","110.025,02","111.462,30","110.179,58","109.656,30","110.879,89","109.964,15","110.926,70","109.768,29",0,0,"33.763,00",
 RUBENS PEREIRA E SILVA JUNIOR,M,92,0,0,35,16,0, 18/03/1984,"356.112,25","33.232,76","43.788,65","49.953,73","46.779,13","45.113,71","44.355,44","12.257,09","27.387,79","27.391,12","25.830,93","21,90",0,"1.112.962,74","111.380,59","110.819,94","111.380,59","111.365,22","111.194,31","111.380,59","111.099,21","111.380,59","111.393,12","111.568,58",0,0,"33.763,00",
